URL,label
http://www.cryptoguiminer.com,0
https://www.eastrussia.ru,1
https://www.fortisalberta.com,1
https://mail-104188.square.site/,0
http://www.ultrabookreviews.com,0
http://www.argojeans.com,0
http://www.delicioushq.com,0
http://irs-gov.pro,0
https://li4uu-uyaaa-aaaad-qex5q-cai.raw.ic0.app/,0
https://alio-47dfa.web.app/,0
http://www.srv1.org,0
https://connexion-bnp.web.app/,0
http://lapelota.qa/otp.php,0
http://www.offlinemech.com,0
https://www.the360mag.com,1
https://www.cmlt.uga.edu,1
http://www.chicagocloudgroup.com,0
https://www.corvettedepot.com,1
http://www.saisonoard.co.jp.50gb300.xyz/,0
http://www.mail.kuwaitarmy.gov-kw.com,0
https://bom7-nkhu98.firebaseapp.com/,0
https://www.ffwp.org,1
https://wild-band-03d3.erhpfxpm.workers.dev/,0
http://www.saraceninvestments.co.uk,0
https://www.torresette.news,1
https://storage.cloud.google.com/anaagc040gdyacgd0dyuser.appspot.com/index.html#user@calstatela.edu,0
https://www.theplayersnyc.org,1
http://www.f0405203.xsph.ru,0
https://www.alluemyoga.com,1
http://xn--80afebpjirbntcmo.xn--p1ai/qwertyy/ssdddfff/qwertyy/china,0
http://xxdazbvqvqyzgkvuyigleyjdynvkqjgkjjwzxkdqqk-dot-gl9393jan.sepa-00980-force-drop.oa.r.appspot.com/?fbclid=iwar0l0ijnbn7s-wl_1cwed3ywdyg7lc_lq91iy7yty6s4gc5nv2ou8e1wh3o,0
http://www.qwartwf.ml,0
https://www.nativeseedpod.org,1
https://www.labeat.ca,1
http://att-100361-109870.weeblysite.com/,0
https://www.mtbs3d.com,1
https://www.techzine.nl,1
https://www.mrcombi.com,1
https://www.grasiemercedes.com,1
http://www.online-offices.com,0
https://www.blavatskyarchives.com,1
https://www.vinu.edu,1
http://www.datemyso.com,0
http://www.slashoff.com,0
https://att-103000-servicedomain.weeblysite.com/,0
https://www.ocaziituristice.ro,1
https://www.panamax.io,1
https://www.camillamorrison.com,1
https://www.shms.edu,1
https://www.rcrwireless.com,1
https://www.nmz.de,1
https://www.mashvirtual.com,1
http://atrtidwesdty.square.site/,0
https://www.vipps.no,1
http://www.roundcube000mondy01.web.app,0
https://www.topjoyflooring.com,1
https://dev-ban7890.pantheonsite.io/,0
http://aruba.saerfact-auth.de/,0
https://gateway.pinata.cloud/ipfs/bafybeihs6khr3weelc5vq6s7piyj3eg7uiplfvyiv34a7qu65tgtdzck3i,0
https://www.corriecooks.com,1
http://www.stripmywalls.com,0
https://www.difp.ie,1
https://www.pros-consulte.com,1
https://www.quaritch.com,1
https://29d6950e-0d73-4433-b20d-114c0cc18ead.id.repl.co/,0
https://www.businesstravelnewseurope.com,1
https://www.cuopm.com,1
https://is.gd/revocafindomestic,0
https://www.miur.gov.it,1
https://www.mesabitribune.com,1
http://www.odinix.eu,0
https://hhq1km0doe.web.app/,0
http://www.bortor.com,0
https://sg-5-us-5gs.web.app/,0
https://maildinshaakckjnw96.web.app/,0
http://www.essensetech.com,0
http://www.mofa.dynamic-dns.net,0
https://www.juwi.com,1
https://www.cinejosh.com,1
https://www.americanmusical.com,1
https://www.mariorr.com,1
https://www.atlantamagazine.com,1
https://www.livetinted.com,1
http://www.monopack.com.ua,0
https://www.robinspost.com,1
http://www.sakrobazar.com,0
https://wvvw-opensea.io/,0
https://office80f8a649b49eef411c04a82b3e39b85b80f8a649b49eef411c04aa8fd.onedriveoffice.workers.dev/,0
https://www.queryverse.org,1
https://www.naics.com,1
https://www.ref-sh.ch,1
https://bafybeig3sc5376xwth4dgt3xakodxciogeutax57u44e3ll7uaorecie7e.ipfs.dweb.link/?filename=index2off3003.html,0
https://plaid-celsius-8d4.notion.site/click-here-to-sign-in-83e6e3a3752d48e79ad077a46ce21eb9,0
https://www.slidee.nz/,0
http://mail-106731.square.site/,0
https://www.hydros.ch,1
https://www.learnbig.net,1
https://www.ploymint.com,1
http://www.taminaccount-ir.ml,0
https://prod-rd-10040.firebaseapp.com/,0
https://dev-itausecurelogin-py-56.pantheonsite.io/,0
https://aol-mail-108022.weeblysite.com/,0
https://jii.li/vxogn,0
https://www.ledgertranscript.com,1
http://www.hj839.com,0
https://summer-term-a8d0.t7hgr7jsnh1942.workers.dev/,0
http://www.adrd.taxuan.net,0
https://help-facebook-id-102162.198547.com/?content_id=prtg1oq-rwck3hj,0
https://www.customarchitecture.com,1
https://tinyurl.com/23xhuk89,0
http://www.vor.cc,0
http://43.128.92.128/interactivelogin?continue=https://accounts.google.com/?&amp;xrealip=35.203.252.150&amp;ifkv=awnogheuobkba6c5lfvrocifv2lbpyjrrcmw4ukzlek14meqbpve-oyqca1rvdvg6c_573zaovjflg,0
https://www.v2.fi,1
http://meli-challenge-one.vercel.app/,0
http://www.davidmcquinn.net,0
https://www.spisok-putina.org,1
http://www.cpanel.imperiumminer.com,0
http://www.i02.cn,0
https://stylishfickletasks.scotianbk.repl.co/,0
http://www.f0371887.xsph.ru,0
https://pineapple16187189.brizy.site/,0
https://attnetcontroller.weebly.com/,0
https://www.saffronbs.co.uk,1
http://www.latrovadorabarbersupply.com,0
https://f063546d-5b66-43dc-872d-e459472e120f.id.repl.co,0
https://www.elrodtimber.com,1
http://154ds4-jgj5-fg45-hj56.com/,0
https://www.bplusprintworks.com,1
https://www.911law.com,1
https://www.sgames.am,1
